id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
hollis_p100_kipsaruriet_n,100,kipsaruriet,noun,comet (alt),,,,CLEAN,,,,,,,,,,
hollis_p100_kokeliet_n,100,kokeliet,noun,Midnight Star,,,,CLEAN,,,,,,,,,,
hollis_p100_konyekapoiik_n,100,konyek-ap-oiik,noun,"hornets' nest (in ground). (literally ""eyes of the spirits"")",,,,CLEAN,,,,,,,,,,
hollis_p100_koremerik_n,100,koremerik,noun,the Pleiades,,,,CLEAN,,,,,,,,,,
hollis_p100_kwapaliet_n,100,kwapaliet,noun,outer rainbow,,,,CLEAN,,,,,,,,,,
hollis_p100_matapoiik_n,100,mat-ap-oiik,noun,"steam jets. (literally ""fire of the spirits"")",,,,CLEAN,,,,,,,,,,
hollis_p100_ormarichet_n,100,ormarichet,noun,halo round sun/moon,,,,CLEAN,,,,,,,,,,
hollis_p100_poitapkechei_n,100,poit-ap-kechei,noun,"the Milky Way. (literally ""sea of stars"")",,,,CLEAN,,,,,,,,,,
hollis_p100_tapoiyot_n,100,tapoiyot,noun,Morning Star,,,,CLEAN,,,,,,,,,,
p102_ka_n,102,ka,noun,"(no pi., no sec.) [cf. kot house] home (one's - -)",ka: ; _ka: (nom.),,"Mi ka. (S/he) is at home,",HAS-GHOSTS,,,,,,,,,,
p102_kabiat_n,102,kabiat,noun,sewer (impolite),ka:-pi-at,Kigong'uto yun kou kabiat.,Over there smells like a sewer.,CLEAN,,,,,,,,,,
p102_kabiniet_n,102,kabiniet,noun,clitoris,_kapin-ye:t ; _kapin; _kapin-ay ; _kapin-a-i:k,,Nyonei chepkabin. (The/an) uncircumcised woman is coming.,CLEAN,,,,,,,,,,
p102_kabiot_n,102,kabiot,noun,"[cf. ke-ot to remove lower incisors] gap where lower incisors have been extracted, kelek ab kabiot lower incisors",_ka:p-yô:t,,,CLEAN,,,,,,,,,,
p102_kabirondo_n,102,kabirondo,noun,[cf. ke-rondan] Kavirondo,_ka:pirô:nto ; _ka:pirô:nte:k,Kaba olep kabirondo.,They went west.,CLEAN,,,,,,,,,,
p102_kabisa_adv,102,kabisa,adverb,"absolutely, very much",_kabisa,,Iman ne bo kabisa. (It's) absolutelyandcertainly tme.,CLEAN,,,,,,,,,,
