rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
400,kemboi,2,p114_kemboi_n,night,,,
401,genen,2,p115_ke_genen_vt,to strain,,,
402,keny,2,p115_keny_adv,"/keny/ [cf. kenyit year] for a long time, keteb keny to stay for a long time",,,
403,munyuk,2,p207_munyuk_n,sodawater made from ashes (see kipkerekut),,,
404,kero,2,p118_kero_a,speckled,,,
405,kwan,2,p159_kwanda_n,"father, father's brother (used in reference, not direct address)",,,
406,kesit,2,p119_kesit_n,case (in a law court),,,
407,ketemwet,2,p120_ketemwet_n,"1. bitter medicine, tree of same",,,
408,watwat,2,p314_watwat_a,1. ticklish. 2. sensitive,,,
409,ketowet,2,p120_ketowet_n,"bladder, lower part of abdomen",,,
410,kiit,2,p125_kiit_n,thing. ki ni,,,
411,kibaigeiyat,2,p121_kibaigeiyat_n,lover,,,
412,koita,2,p146_koita_n,"stone, koit ab bai stone for grinding millet",,,
413,korgo,2,p150_korgoret_n,prison,,,
414,kim,2,p125_kim_a,1. strong,,,
415,koech,2,p145_koech_adv,all night (long),,,
416,kip,2,p133_kipkoi_n,"anaplasmosis, a cattle disease, also chepkoi",,,
417,late,2,p173_latet_n,scrotum,,,
418,kute,2,p158_kuterer_adv,to lie on the back,,,
419,kipsanuwet,2,p137_kipsanuwet_n,comb (also kipsunuwet),,,
420,kipseanit,2,p137_kipseanit_n,"large, arboreal snake",,,
421,kipsomsomek,2,p138_kipsomsomek_n,ants which live in small mounds,,,
422,sumu,2,p273_sumu_n,poison,,,
423,kogon,2,p146_kogoniot_n,female animal (also koget),,,
424,serut,2,p261_serut_n,"nose, kondab ser(ut). kong'ik ab ser(ut)nostril, nostrils (hole(s) of nose)",,,
425,iyet,2,p099_iyeto_n,"smoke. lyeni iyeto. The smoke is rising, /iyyen-i iyye-ta/",,,
426,gor,2,p149_ke_gor_vt,to render Kogogor mwaita (fat),,,
427,kolen,2,p165_kolenjin_n,"[lit. I told you, see ke-le to say] Kalenjin",,,
428,koriot,2,p150_koriot_n,"ridge, well-defined edge or protrubance",,,
429,korok,2,p150_korok_adv,1. first,,,
430,kas,2,p110_kasese_n,"[cf. keses-to craziness] a crazy, eccentric person",,,
431,kos,2,p151_kosiom_a,"bent over, curved, crooked, warped",,,
432,nwach,2,p233_nwach_a,short,,,
433,lembech,2,p175_lembechat_n,lie(s),,,
434,kul,2,p154_kuluny_a,turned inwards (of ox horns),,,
435,kum,2,p154_kumbet_n,prostitution,,,
436,kumik,2,p154_kumik_n,honey,,,
437,ng,2,p221_ng'ei_n,May. ng'ei,,,
438,kunur,2,p155_kunur_a,"gnarled, twisted, crooked",,,
439,kitandet,2,p143_kitandet_n,"bed. kitandet ab anwet, onok bed made of leather straps",,,
440,kures,2,p156_kuresiet_n,"candalabra tree, Euphorbia candelabrum, savanna tree to 50 ft. with a mass of ca",,,
441,kwanget,2,p159_kwanget_n,bow,,,
442,kwet,2,p162_kwetiot_n,"buttock, ke-kwet-yi v.app",,,
443,la,2,p170_ke_la_vt,"1. to carry on back (e.g. firewood), to carry (e.g. a corpse), to lug. Labak! Ca",,,
444,meto,2,p194_meto_adv,"/met-o/ [of. met-it head] 1. upwards, up, north, ole meto north /ole met-o/ Moti",,,
445,lel,2,p175_leldet_n,"core, pure part, cream of. leldet ab mat flame of a fire",,,
