corpus_id,confidence,source,creider_primary,creider_secondary,creider_gloss,gloss_overlap,notes
p273_sumeek_n,HIGH,direct match,sú:mey,sú:mê-ê:k,hair,1.00,
p275_suswek_n,HIGH,direct match,su:s-wa,su:s-wé:k,grass,1.00,
p279_ta_adv,LOW,fuzzy: strip -at,tá-á:,tá-à:t,guest,0.00,
p281_tala_a,HIGH,direct match,tálá,,gentle,1.00,plural: táláe:n
p282_taman_num,HIGH,direct match,táman,,ten,1.00,
p282_tamnet_n,HIGH,direct match,tà:mn-a,tà:mn-é:t,chin,1.00,
p283_tany_n,HIGH,direct match,tàny,te:-tà,cow,1.00,
p283_taptet_n,HIGH,direct match,ta:pt-ò,ta:pt-ê:t,flower,1.00,
p284_te_adv,LOW,fuzzy: strip -ka,te:k-á:,te:k-â:t,bamboo,0.00,
p285_ke_tech_vt,MEDIUM,fuzzy: c → ch,ke:-tê:c,,to build,1.00,
p289_teret_n,HIGH,direct match,ter-e,ter-é:t,earthen pot,0.50,
p289_teta_n,HIGH,direct match,tàny,te:-tà,cow,1.00,
p29_ke_am_v,HIGH,direct match,ke:-ám,,to eat (it),1.00,
p293_tilil_a,HIGH,direct match,tílî:l,,clean,1.00,
p299_ke_tor_vt,LOW,fuzzy: strip -ta,ke:-to:rtá,,to push,0.00,
p301_tulwet_n,HIGH,direct match,tul-wa,tul-wé:t,"hill, mountain",1.00,
p302_tung'wek_n,LOW,direct match,túng-wa,túng-wé:k,colds,0.00,
p312_urwet_n,HIGH,direct match,u:r-wa,u:r-wé:t,shade,1.00,
p316_ya_a,HIGH,direct match,yâ,,bad,1.00,plural: yáac
p76_ke_chor_vven,LOW,fuzzy: c → ch,ke:-cò:r,,to steal,0.00,
p93_ine_n,HIGH,direct match,ínê:,íne:,"he, she, it (3sg)",1.00,
p96_inye_n,HIGH,direct match,ínyê:,íny e:,you (2sg),1.00,
